FlightDate,OriginCityName,DestCityName,CRSDepTime,DepTime,DepDelayMinutes,WeatherDelay,Distance,ArrDelayMinutes,OriginCityName_clean,station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,city_name_clean,Month,has_weather_data,is_severe_delay,is_heavy_precipitation,DayOfWeek,IsWeekend,DelayCategory,Distance_scaled,avg_temp_c_scaled,precipitation_mm_scaled,avg_wind_speed_kmh_scaled,WeatherCondition,TemperatureCategory
2020-01-02,"Chicago, IL","Sacramento, CA",2040,2035.0,0.0,0.0,1781.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,1,0,0,0,3,0,OnTime,1.7193514377764394,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2023-04-25,"Austin, TX","San Diego, CA",920,919.0,0.0,0.0,1164.0,0.0,austin,72254,Austin,2023-04-25,Spring,19.2,16.7,23.9,0.3,0.0,105.0,5.8,,1012.3,,austin,4,1,0,0,1,0,OnTime,0.6608478805450795,0.5437284054512718,-0.08215835079783095,-2.2076876707538027,Dry,Mild
2022-07-22,"Chicago, IL","Phoenix, AZ",1015,1016.0,1.0,0.0,1444.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,4,0,Minor,1.1412060588672526,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-04-19,"Charlotte, NC","Denver, CO",630,624.0,0.0,0.0,1337.0,0.0,charlotte,,,,,16.6,,,0.0,,,11.9,,,,,4,0,0,0,4,0,OnTime,0.9576406121512793,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-12-29,"Dallas/Fort Worth, TX","Boston, MA",1835,1844.0,9.0,0.0,1562.0,0.0,dallas/fort worth,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,5,1,Minor,1.343642719731597,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-03-29,"Seattle, WA","Denver, CO",1535,1527.0,0.0,0.0,1024.0,0.0,seattle,,,,,16.6,,,0.0,,,11.9,,,,,3,0,0,0,6,1,OnTime,0.42066879138399305,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-07-03,"Orlando, FL","Detroit, MI",830,824.0,0.0,0.0,957.0,0.0,orlando,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,4,0,OnTime,0.3057259415711873,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-10-31,"Phoenix, AZ","Santa Barbara, CA",1420,1412.0,0.0,0.0,455.0,0.0,phoenix,72278,Phoenix,2018-10-31,Autumn,21.3,14.4,25.0,0.0,0.0,247.0,11.2,,1011.9,,phoenix,10,1,0,0,2,0,OnTime,-0.5554876495635658,0.9502764112646854,-0.1538199655217408,-0.31736595246201804,,Warm
2019-07-02,"Ketchikan, AK","Juneau, AK",2055,2052.0,0.0,0.0,234.0,0.0,ketchikan,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,1,0,OnTime,-0.9346274974535665,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-07-10,"Raleigh/Durham, NC","Orlando, FL",1629,1628.0,0.0,0.0,534.0,23.0,raleigh/durham,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,2,0,OnTime,-0.41995802067980975,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-04-08,"Chicago, IL","St. Louis, MO",1755,1751.0,0.0,0.0,251.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,4,0,0,0,0,0,OnTime,-0.9054628937697203,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-09-16,"Philadelphia, PA","Orlando, FL",1123,1127.0,4.0,0.0,861.0,0.0,philadelphia,,,,,16.6,,,0.0,,,11.9,,,,,9,0,0,0,3,0,Minor,0.14103170900358517,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-07-30,"St. Louis, MO","Orlando, FL",1115,1120.0,5.0,0.0,882.0,0.0,st. louis,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,3,0,Minor,0.17705857237774814,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-06-13,"Bemidji, MN","Minneapolis, MN",1747,1743.0,0.0,0.0,199.0,0.0,bemidji,,,,,16.6,,,0.0,,,11.9,,,,,6,0,0,0,0,0,OnTime,-0.9946722697438382,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2023-03-17,"Dallas, TX","Columbus, OH",1320,1424.0,64.0,0.0,919.0,54.0,dallas,,,,,16.6,,,0.0,,,11.9,,,,,3,0,0,0,4,0,Severe,0.24053447451317814,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-02-23,"New Orleans, LA","Denver, CO",1615,1731.0,76.0,0.0,1062.0,88.0,new orleans,,,,,16.6,,,0.0,,,11.9,,,,,2,0,0,0,2,0,Severe,0.4858602584420022,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-12-05,"Phoenix, AZ","New York, NY",655,650.0,0.0,0.0,2153.0,0.0,phoenix,72278,Phoenix,2018-12-05,Winter,14.1,6.7,22.8,0.0,0.0,126.0,7.2,,1013.0,,phoenix,12,1,0,0,2,0,OnTime,2.3575415889758977,-0.4436024658098749,-0.1538199655217408,-1.717604262307784,,Mild
2023-04-12,"Colorado Springs, CO","Denver, CO",600,556.0,0.0,0.0,73.0,0.0,colorado springs,,,,,16.6,,,0.0,,,11.9,,,,,4,0,0,0,2,0,OnTime,-1.210833449988816,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-03-08,"Charlotte, NC","Des Moines, IA",2215,2209.0,0.0,0.0,815.0,0.0,charlotte,,,,,16.6,,,0.0,,,11.9,,,,,3,0,0,0,6,1,OnTime,0.062115722564942445,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-01-29,"San Diego, CA","San Jose, CA",1320,1315.0,0.0,0.0,417.0,0.0,san diego,,,,,16.6,,,0.0,,,11.9,,,,,1,0,0,0,2,0,OnTime,-0.6206791166215749,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2021-08-18,"Newark, NJ","Detroit, MI",1805,1812.0,7.0,0.0,488.0,48.0,newark,,,,,16.6,,,0.0,,,11.9,,,,,8,0,0,0,2,0,Minor,-0.4988740071184525,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2023-04-22,"Minneapolis, MN","Houston, TX",705,704.0,0.0,0.0,1034.0,0.0,minneapolis,,,,,16.6,,,0.0,,,11.9,,,,,4,0,0,0,5,1,OnTime,0.4378244406097849,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-07-26,"Shreveport, LA","Dallas/Fort Worth, TX",1424,1426.0,2.0,0.0,190.0,0.0,shreveport,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,4,0,Minor,-1.010112354047051,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-12-05,"Chicago, IL","Memphis, TN",830,830.0,0.0,0.0,480.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,0,0,OnTime,-0.512598526499086,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-08-31,"Traverse City, MI","Chicago, IL",1226,1220.0,0.0,0.0,224.0,0.0,traverse city,,,,,16.6,,,0.0,,,11.9,,,,,8,0,0,0,2,0,OnTime,-0.9517831466793585,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2023-03-16,"Cleveland, OH","Baltimore, MD",950,945.0,0.0,0.0,314.0,0.0,cleveland,,,,,16.6,,,0.0,,,11.9,,,,,3,0,0,0,3,0,OnTime,-0.7973823036472314,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-12-18,"Newark, NJ","Norfolk, VA",1500,1456.0,0.0,0.0,284.0,0.0,newark,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,6,1,OnTime,-0.8488492513246071,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-07-02,"Charleston, SC","Chicago, IL",1325,1320.0,0.0,0.0,760.0,0.0,charleston,72414,Charleston,2022-07-02,Summer,24.8,20.6,30.0,3.0,0.0,3.0,2.9,,1015.1,,charleston,7,1,0,0,5,1,OnTime,-0.03224034817691297,1.6278564209537076,0.5627961817173577,-3.222860445391983,Light Rain,Warm
